incident_id,model,condition_A,condition_B,condition_C,condition_D,ecs_score,verdict
INC-013,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-014,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-015,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-016,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-001,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-002,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-003,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-004,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-005,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-006,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-007,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-008,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-009,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-010,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-011,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-012,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-013,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-014,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-015,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-016,gpt-4-turbo,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
